消费账号,接口密钥名称,消费接口,消费模型,消费金额,代金券后消费金额,输入消费数,输出消费数,总消费数,消费时间,消费结果
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,271960,0,271960,2026-04-17 22:00-23:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,2628210,0,2628210,2026-04-17 22:00-23:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,1672699,16836,1689535,2026-04-17 22:00-23:00,SUCCESS
主账号,coding_plan,code_plan_resource_package,coding-plan-search,0.0000,0.0000,6,0,6,2026-04-17 22:00-23:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,123509,0,123509,2026-04-17 21:00-22:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,298170,0,298170,2026-04-17 21:00-22:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,31171,2525,33696,2026-04-17 21:00-22:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,3284,0,3284,2026-04-17 20:00-21:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,726730,0,726730,2026-04-17 20:00-21:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,241721,7045,248766,2026-04-17 20:00-21:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,4457760,0,4457760,2026-04-17 19:00-20:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,370857,0,370857,2026-04-17 19:00-20:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,4175695,96783,4272478,2026-04-17 19:00-20:00,SUCCESS
主账号,coding_plan,code_plan_resource_package,coding-plan-search,0.0000,0.0000,60,0,60,2026-04-17 19:00-20:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,2222938,0,2222938,2026-04-17 17:00-18:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,105123,0,105123,2026-04-17 17:00-18:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,952602,9931,962533,2026-04-17 17:00-18:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,91754,0,91754,2026-04-17 16:00-17:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,4771980,0,4771980,2026-04-17 16:00-17:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,3400966,32692,3433658,2026-04-17 16:00-17:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,20431,0,20431,2026-04-17 15:00-16:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,5627885,0,5627885,2026-04-17 15:00-16:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,1833457,39292,1872749,2026-04-17 15:00-16:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,19843,0,19843,2026-04-17 14:00-15:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,5308897,0,5308897,2026-04-17 14:00-15:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,196306,39372,235678,2026-04-17 14:00-15:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,191236,0,191236,2026-04-17 13:00-14:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,817439,0,817439,2026-04-17 13:00-14:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,2195192,20743,2215935,2026-04-17 13:00-14:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,168235,0,168235,2026-04-17 11:00-12:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,3225691,0,3225691,2026-04-17 11:00-12:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,9463321,30870,9494191,2026-04-17 11:00-12:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,5203188,0,5203188,2026-04-17 10:00-11:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,567620,0,567620,2026-04-17 10:00-11:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,4399456,113192,4512648,2026-04-17 10:00-11:00,SUCCESS
主账号,coding_plan,code_plan_resource_package,coding-plan-search,0.0000,0.0000,62,0,62,2026-04-17 10:00-11:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,130472,0,130472,2026-04-17 09:00-10:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,410465,0,410465,2026-04-17 09:00-10:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,138067,12286,150353,2026-04-17 09:00-10:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,54498,0,54498,2026-04-17 08:00-09:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,487993,0,487993,2026-04-17 08:00-09:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,386989,18696,405685,2026-04-17 08:00-09:00,SUCCESS
主账号,coding_plan,code_plan_resource_package,coding-plan-search,0.0000,0.0000,35,0,35,2026-04-17 08:00-09:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,173149,0,173149,2026-04-16 22:00-23:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,1347807,0,1347807,2026-04-16 22:00-23:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,993099,26431,1019530,2026-04-16 22:00-23:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,27436,0,27436,2026-04-16 21:00-22:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,1261829,0,1261829,2026-04-16 21:00-22:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,224218,25421,249639,2026-04-16 21:00-22:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,1146240,0,1146240,2026-04-16 17:00-18:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,51635,22428,74063,2026-04-16 17:00-18:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,553075,0,553075,2026-04-16 16:00-17:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,182,0,182,2026-04-16 16:00-17:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,51391,4781,56172,2026-04-16 16:00-17:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,1014749,0,1014749,2026-04-16 15:00-16:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,16686,0,16686,2026-04-16 15:00-16:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,140679,18605,159284,2026-04-16 15:00-16:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,7359680,0,7359680,2026-04-16 13:00-14:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,99530,18932,118462,2026-04-16 13:00-14:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,2430336,0,2430336,2026-04-16 11:00-12:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,141266,21045,162311,2026-04-16 11:00-12:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,3416714,0,3416714,2026-04-16 10:00-11:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,393006,0,393006,2026-04-16 10:00-11:00,SUCCESS
